9820.102495268919 --- ('artykuł', 'brev') ('koło', 'brev')
313.53734218422323 --- ('społeczny', 'adj') ('oddział', 'subst')
313.26609433908015 --- ('z', 'prep') ('do', 'prep')
313.26609433908015 --- ('do', 'prep') ('z', 'prep')
313.1613554628566 --- ('ten', 'adj') ('wzgląd', 'subst')
312.945189175196 --- ('móc', 'praet') ('być', 'inf')
312.8807138931006 --- ('stosunek', 'subst') ('prawny', 'adj')
312.5413812827319 --- ('ponosić', 'ger') ('przez', 'prep')
311.0757452752441 --- ('w', 'prep') ('o', 'prep')
310.93241582252085 --- ('na', 'prep') ('moc', 'subst')
310.1306293141097 --- ('ł', 'brev') ('ż', 'brev')
308.672514365986 --- ('rok', 'brev') ('do', 'prep')
308.2882516719401 --- ('po', 'prep') ('upływ', 'subst')
308.0352760097012 --- ('niewłaściwy', 'adj') ('zastosowanie', 'subst')
308.03149487264454 --- ('przekazać', 'ger') ('sprawa', 'subst')
307.3434199169278 --- ('trybunał', 'subst') ('konstytucyjny', 'adj')
307.31301176082343 --- ('wiadomość', 'subst') ('specjalny', 'adj')
307.21982675790787 --- ('ustalić', 'praet') ('następujący', 'adj')
307.18391247466207 --- ('zamknąć', 'ger') ('rozprawa', 'subst')
306.41071499790996 --- ('brać', 'praet') ('udział', 'subst')
305.80485314689577 --- ('w', 'prep') ('warszawa', 'subst')
305.5696445442736 --- ('podkreślić', 'inf') ('należeć', 'fin')
304.6561048151925 --- ('logiczny', 'adj') ('rozumowanie', 'subst')
304.5740509442985 --- ('kara', 'subst') ('pozbawienie', 'subst')
303.7082575727254 --- ('pkt', 'subst') ('koło', 'brev')
303.4635848291218 --- ('posiadacz', 'subst') ('pojazd', 'subst')
303.36736862547696 --- ('w', 'prep') ('koło', 'brev')
302.3655430432409 --- ('umowa', 'subst') ('najem', 'subst')
301.62628739792854 --- ('sąd', 'subst') ('ustalić', 'praet')
301.5564486468211 --- ('wydział', 'subst') ('cywilny', 'adj')
301.00704263616353 --- ('stan', 'subst') ('zdrowie', 'subst')
300.39329744689167 --- ('przez', 'prep') ('strona', 'subst')
300.297009174712 --- ('ubezpieczenie', 'subst') ('emerytalny', 'adj')
300.2809161581099 --- ('oprzeć', 'ppas') ('na', 'prep')
299.020775818266 --- ('m', 'brev') ('g', 'brev')
298.5502721136436 --- ('wiedza', 'subst') ('doświadczenie', 'subst')
298.2281056083739 --- ('na', 'prep') ('stanowisko', 'subst')
297.53064665570855 --- ('czp', 'subst') ('osnc', 'subst')
296.7595980707556 --- ('w', 'prep') ('wysokość', 'subst')
296.3691069688648 --- ('zasada', 'subst') ('współżycie', 'subst')
296.36847152467817 --- ('straż', 'subst') ('miejski', 'adj')
296.351037456654 --- ('odpowiedzialność', 'subst') ('za', 'prep')
296.32232159469277 --- ('o', 'prep') ('uchylić', 'ger')
296.13525981269777 --- ('dopuścić', 'ger') ('dowód', 'subst')
293.95989417657256 --- ('opłacić', 'ppas') ('pomoc', 'subst')
293.5366967264563 --- ('w', 'prep') ('stosunek', 'subst')
293.36238184850663 --- ('zgromadzić', 'ppas') ('w', 'prep')
293.18295398913324 --- ('uszczerbek', 'subst') ('na', 'prep')
292.46377794258296 --- ('postanowienie', 'subst') ('sąd', 'subst')
292.26130879018456 --- ('tom', 'brev') ('język', 'brev')
291.3184764208272 --- ('h', 'brev') ('z', 'brev')
290.8694373006001 --- ('wnieść', 'ger') ('pozew', 'subst')
290.67367387004197 --- ('wyłączny', 'adj') ('wina', 'subst')
290.2317443881184 --- ('dobrowolny', 'adj') ('ubezpieczenie', 'subst')
289.2790725734085 --- ('w', 'prep') ('wynik', 'subst')
288.91598485875875 --- ('koszt', 'subst') ('naprawa', 'subst')
288.243942245841 --- ('odnosić', 'pact') ('do', 'prep')
288.2424905076623 --- ('wiek', 'subst') ('emerytalny', 'adj')
287.859303961508 --- ('szczególny', 'adj') ('charakter', 'subst')
286.8529465738684 --- ('jak', 'adv') ('wynikać', 'fin')
286.1473532896489 --- ('w', 'prep') ('przez', 'prep')
285.8818406937644 --- ('przedsiębiorca', 'subst') ('telekomunikacyjny', 'adj')
285.65002694167197 --- ('zasada', 'subst') ('doświadczenie', 'subst')
285.4026362579316 --- ('zamiar', 'subst') ('ewentualny', 'adj')
284.1590425539762 --- ('zasób', 'subst') ('mieszkaniowy', 'adj')
283.59500790946186 --- ('odsetek', 'subst') ('od', 'prep')
283.5893897106871 --- ('ustęp', 'brev') ('rozporządzenie', 'subst')
283.37266597058624 --- ('u', 'prep') ('naszą', 'brev')
282.6875565946102 --- ('budzić', 'fin') ('wątpliwość', 'subst')
281.8215463301167 --- ('podstawa', 'subst') ('prawny', 'adj')
280.2086263112724 --- ('dziennik', 'brev') ('u', 'subst')
279.2991980863735 --- ('oddać', 'ger') ('strzał', 'subst')
278.8663485692814 --- ('przebieg', 'subst') ('zdarzenie', 'subst')
278.5148364175111 --- ('d', 'brev') ('p', 'brev')
278.4259863141924 --- ('wykaz', 'subst') ('a', 'subst')
278.40765639860183 --- ('dać', 'praet') ('wiara', 'subst')
278.1850342825055 --- ('mieć', 'pact') ('wpływ', 'subst')
277.6986533589661 --- ('za', 'prep') ('wiarygodny', 'adj')
277.65548886731267 --- ('odnosić', 'pcon') ('do', 'prep')
277.5576538583264 --- ('w', 'prep') ('trakt', 'subst')
277.2541835550219 --- ('w', 'prep') ('cel', 'subst')
277.10196082573384 --- ('dokonać', 'ppas') ('przez', 'prep')
275.75648905709386 --- ('realizacja', 'subst') ('zamówienie', 'subst')
275.15326743386686 --- ('protokolant', 'subst') ('stopień', 'brev')
275.1413363534957 --- ('federacja', 'subst') ('stowarzyszenie', 'subst')
274.84226418007165 --- ('usunięcie', 'subst') ('wada', 'subst')
274.6832807539031 --- ('sprawiedliwość', 'subst') ('z', 'prep')
274.6170409042388 --- ('po', 'prep') ('strona', 'subst')
274.28853402100503 --- ('wyrok', 'subst') ('sn', 'subst')
273.4566855430603 --- ('praca', 'subst') ('w', 'prep')
273.43074528034776 --- ('przepis', 'subst') ('ustawa', 'subst')
273.3885770160705 --- ('kontrakt', 'subst') ('menedżerski', 'adj')
273.31792900525033 --- ('w', 'prep') ('chwila', 'subst')
272.7789600715041 --- ('w', 'prep') ('warunki', 'subst')
272.0031115692109 --- ('z', 'prep') ('zmarł', 'brev')
271.9020708343014 --- ('strona', 'brev') ('uzasadnić', 'ger')
271.82077173888683 --- ('niezdolność', 'subst') ('do', 'prep')
271.3534472184256 --- ('prawny', 'adj') ('ustanowić', 'ppas')
270.9192258855328 --- ('naruszenie', 'subst') ('przepis', 'subst')
270.89134147390723 --- ('otworzyć', 'ger') ('likwidacja', 'subst')
270.5546156940982 --- ('doznać', 'ppas') ('krzywda', 'subst')
270.4028220390901 --- ('chodzić', 'fin') ('o', 'prep')
270.22008392587304 --- ('emerytura', 'subst') ('renta', 'subst')
269.94987092819065 --- ('rok', 'subst') ('pozbawić', 'ger')
269.07607064489275 --- ('na', 'prep') ('teren', 'subst')
268.2108901469037 --- ('z', 'prep') ('wzgląd', 'subst')
267.9096336485818 --- ('pozycja', 'brev') ('z', 'prep')
267.35654140729457 --- ('za', 'prep') ('usługa', 'subst')
266.7147121122107 --- ('zawiesić', 'ger') ('on', 'ppron3')
266.58816303964704 --- ('zgoda', 'subst') ('na', 'prep')
265.4906194033101 --- ('postępowanie', 'subst') ('dowodowy', 'adj')
265.12097300682217 --- ('opisać', 'ppas') ('w', 'prep')
265.00875804480165 --- ('odsetek', 'subst') ('ustawowy', 'adj')
264.85304476786405 --- ('rozstrzygnąć', 'ger') ('sprawa', 'subst')
264.05954436026514 --- ('arkusz', 'subst') ('zestawienie', 'subst')
263.66563109960407 --- ('tysiąc', 'subst') ('tona', 'subst')
262.32738762162626 --- ('ograniczać', 'pact') ('konkurencja', 'subst')
262.2296108594164 --- ('rada', 'subst') ('region', 'subst')
261.42611372470856 --- ('rozdzielność', 'subst') ('majątkowy', 'adj')
261.31631060969085 --- ('na', 'prep') ('grunt', 'subst')
261.1557854069397 --- ('prawo', 'subst') ('zamówienie', 'subst')
260.45946250203997 --- ('prowadzić', 'pact') ('działalność', 'subst')
260.04659247305244 --- ('spółka', 'subst') ('matka', 'subst')
259.4973520161584 --- ('zgodny', 'adj') ('z', 'prep')
259.1372238798067 --- ('wykonawca', 'subst') ('roads', 'subst')
258.7390246503055 --- ('dzień', 'subst') ('zapłata', 'subst')
258.71363328862935 --- ('następujący', 'adj') ('stan', 'subst')
258.5703070657328 --- ('zwrócić', 'praet') ('uwaga', 'subst')
258.09298412129283 --- ('pomoc', 'subst') ('finansowy', 'adj')
258.0421092081815 --- ('oświadczenie', 'subst') ('o', 'prep')
257.8162830043584 --- ('zaskarżyć', 'ppas') ('orzeczenie', 'subst')
256.8354144664481 --- ('pozarolniczy', 'adj') ('działalność', 'subst')
256.70063821505755 --- ('pracownik', 'subst') ('zatrudnić', 'ppas')
255.9714183099568 --- ('skutek', 'subst') ('apelacja', 'subst')
255.78021255880594 --- ('zmiana', 'subst') ('zaskarżyć', 'ppas')
255.75707464385778 --- ('popełnić', 'ger') ('zarzucać', 'ppas')
255.54836555104703 --- ('renta', 'subst') ('rodzinny', 'adj')
255.2154849115759 --- ('wyodrębnić', 'ppas') ('komórka', 'subst')
254.64590942766517 --- ('ustęp', 'brev') ('pzp', 'subst')
254.37969048786908 --- ('sprawa', 'subst') ('opłata', 'subst')
254.33189182262868 --- ('kosztorys', 'subst') ('powykonawczy', 'adj')
254.13950655423105 --- ('sąd', 'subst') ('zważyć', 'praet')
253.03263258002698 --- ('ponosić', 'fin') ('odpowiedzialność', 'subst')
252.6786397015676 --- ('zadośćuczynienie', 'subst') ('pieniężny', 'adj')
251.29414097592235 --- ('z', 'prep') ('treść', 'subst')
251.1657068664208 --- ('w', 'prep') ('tryb', 'subst')
249.32845180667937 --- ('w', 'prep') ('oprzeć', 'ger')
249.16052051074803 --- ('kara', 'subst') ('umowny', 'adj')
247.57210151758045 --- ('majątek', 'subst') ('wspólny', 'adj')
247.29880197439343 --- ('zasługiwać', 'fin') ('na', 'prep')
246.15495742391795 --- ('w', 'prep') ('myśl', 'subst')
245.93293052259833 --- ('instalacja', 'subst') ('zbiorczy', 'adj')
245.3739376347512 --- ('sędzia', 'subst') ('sa', 'subst')
245.2075266474858 --- ('móc', 'praet') ('zostać', 'inf')
245.1335179982707 --- ('realizacja', 'subst') ('część', 'subst')
244.9087793463841 --- ('podmiot', 'subst') ('udostępniać', 'pact')
244.8040828006342 --- ('ii', 'adj') ('ckn', 'subst')
244.3586619934067 --- ('gwarancja', 'subst') ('ubezpieczeniowy', 'adj')
244.11956108454615 --- ('w', 'prep') ('raz', 'subst')
243.7028449876234 --- ('prawo', 'subst') ('majątkowy', 'adj')
243.59772052802145 --- ('wynagrodzenie', 'subst') ('ryczałtowy', 'adj')
243.02510626148432 --- ('najem', 'subst') ('lokal', 'subst')
243.00713317282498 --- ('należyty', 'adj') ('staranność', 'subst')
242.45731340907514 --- ('na', 'prep') ('uwzględnić', 'ger')
242.26792195159942 --- ('robota', 'subst') ('budowlany', 'adj')
242.15291728824377 --- ('nadmiernie', 'adv') ('wygórowany', 'adj')
241.68566639441997 --- ('żaden', 'adj') ('sposób', 'subst')
241.5326868146658 --- ('wziąć', 'praet') ('pod', 'prep')
241.48928918410093 --- ('stopień', 'brev') ('sekr', 'brev')
240.96814093645662 --- ('przez', 'prep') ('w', 'prep')
240.9626898681745 --- ('z', 'prep') ('opinia', 'subst')
240.5227871099487 --- ('wyrazić', 'ger') ('zgoda', 'subst')
240.36730501800776 --- ('okoliczność', 'subst') ('faktyczny', 'adj')
240.35184503626078 --- ('koszt', 'subst') ('opłacić', 'ppas')
240.2561801224947 --- ('powoływać', 'pcon') ('na', 'prep')
240.08445484098047 --- ('oskarżony', 'subst') ('a', 'brev')
240.0418092655018 --- ('zauważyć', 'inf') ('należeć', 'fin')
240.00997343752533 --- ('obrażenie', 'subst') ('ciało', 'subst')
239.31119234487414 --- ('punkt', 'brev') ('pzp', 'brev')
239.21120274346322 --- ('właściciel', 'subst') ('lokal', 'subst')
239.20520752947778 --- ('nieruchomość', 'subst') ('położyć', 'ppas')
238.50841954443604 --- ('w', 'prep') ('ogół', 'subst')
238.34423668775707 --- ('praktyka', 'subst') ('ograniczać', 'pact')
238.06593320611864 --- ('winien', 'winien') ('być', 'inf')
237.12822555936873 --- ('móc', 'praet') ('mieć', 'inf')
236.8414089428261 --- ('tajemnica', 'subst') ('przedsiębiorstwo', 'subst')
236.6306192232296 --- ('ł', 'brev') ('n', 'brev')
235.78602873627096 --- ('przez', 'prep') ('skarb', 'subst')
235.41237779613584 --- ('m', 'brev') ('z', 'brev')
235.1161275682971 --- ('polegać', 'fin') ('na', 'prep')
234.55275409668684 --- ('wskazać', 'ppas') ('w', 'prep')
234.43581743258983 --- ('za', 'prep') ('przestępstwo', 'subst')
233.1636513620615 --- ('roszczenie', 'subst') ('o', 'prep')
232.90523020271212 --- ('do', 'prep') ('gram', 'brev')
232.84378544054925 --- ('spłata', 'subst') ('kredyt', 'subst')
232.79543778765947 --- ('osnc', 'subst') ('numer', 'brev')
232.63808725215495 --- ('podlegać', 'praet') ('oddalenie', 'subst')
232.54439158178866 --- ('część', 'subst') ('zamówienie', 'subst')
232.24619395192713 --- ('prawny', 'adj') ('ponosić', 'ger')
231.82442126609385 --- ('wykonywać', 'praet') ('praca', 'subst')
231.2753421412781 --- ('opublikować', 'ppas') ('w', 'prep')
231.23733074497432 --- ('akt', 'subst') ('vi', 'adj')
231.16824473906308 --- ('pozostały', 'adj') ('zakres', 'subst')
230.2213465673849 --- ('postanowienie', 'subst') ('z', 'prep')
230.11052785813808 --- ('chwila', 'subst') ('zamknąć', 'ger')
229.96425663493574 --- ('zasługiwać', 'praet') ('na', 'prep')
229.5580144682899 --- ('między', 'prep') ('strona', 'subst')
229.53938210569322 --- ('wszechstronny', 'adj') ('rozważyć', 'ger')
229.4408551035449 --- ('samochód', 'subst') ('osobowy', 'adj')
229.33339185919613 --- ('oznaczać', 'fin') ('to', 'subst')
229.22539526689798 --- ('o', 'prep') ('zmiana', 'subst')
228.85045159608126 --- ('akt', 'subst') ('kio', 'subst')
228.4789119074121 --- ('ośrodek', 'subst') ('pomoc', 'subst')
228.33150043804199 --- ('przy', 'prep') ('praca', 'subst')
227.70060736313462 --- ('skład', 'subst') ('ssn', 'subst')
226.6405703080818 --- ('p', 'brev') ('l', 'brev')
226.18084404431283 --- ('jednostka', 'subst') ('organizacyjny', 'adj')
225.7345551913604 --- ('pełnomocnik', 'subst') ('oskarżyciel', 'subst')
225.01467898115516 --- ('zaskarżyć', 'ppas') ('decyzja', 'subst')
224.70645765773952 --- ('monter', 'subst') ('rurociąg', 'subst')
224.0789880985394 --- ('żądanie', 'subst') ('pozew', 'subst')
223.89590866677463 --- ('o', 'prep') ('system', 'subst')
223.81524984166026 --- ('zobowiązać', 'ppas') ('do', 'prep')
223.80301104299724 --- ('który', 'adj') ('mieć', 'praet')
223.45195872243494 --- ('rok', 'subst') ('numer', 'brev')
223.35928989946842 --- ('umowa', 'subst') ('zlecenie', 'subst')
223.12081974186003 --- ('spółdzielnia', 'subst') ('mieszkaniowy', 'adj')
222.72226952947676 --- ('czyn', 'subst') ('zabronić', 'ppas')
222.60966172255576 --- ('pozwany', 'adj') ('spółdzielnia', 'subst')
222.50658539589494 --- ('tom', 'brev') ('i', 'adj')
222.30604882072657 --- ('położyć', 'ppas') ('w', 'prep')
222.09259077720344 --- ('prezes', 'subst') ('zarząd', 'subst')
221.88191948179156 --- ('należeć', 'fin') ('uznać', 'inf')
221.79624598287046 --- ('uprawnić', 'ppas') ('do', 'prep')
221.47321651224047 --- ('stowarzyszenie', 'subst') ('rada', 'subst')
221.16380831133574 --- ('wyrazić', 'praet') ('zgoda', 'subst')
221.09318243991584 --- ('akt', 'subst') ('notarialny', 'adj')
220.9219796601683 --- ('kara', 'subst') ('grzywna', 'subst')
220.75995014887303 --- ('umowa', 'subst') ('dzierżawa', 'subst')
220.51352639403194 --- ('odwodnić', 'ger') ('dach', 'subst')
220.51352639403194 --- ('energia', 'subst') ('elektryczny', 'adj')
220.24011321738362 --- ('ustawa', 'subst') ('systemowy', 'adj')
219.84035728871822 --- ('tryb', 'subst') ('artykuł', 'brev')
219.54956332221627 --- ('błędny', 'adj') ('wykładnia', 'subst')
218.8932907152921 --- ('w', 'prep') ('orzecznictwo', 'subst')
218.84671175293624 --- ('za', 'prep') ('czynność', 'subst')
218.83135997410864 --- ('miejsce', 'subst') ('zamieszkanie', 'subst')
218.81989718042314 --- ('m', 'brev') ('p', 'brev')
218.73369667027146 --- ('nienależyty', 'adj') ('wykonać', 'ger')
217.46069513540715 --- ('przedstawić', 'ppas') ('przez', 'prep')
217.4596725013107 --- ('należeć', 'fin') ('zauważyć', 'inf')
217.22645906824619 --- ('procesowy', 'adj') ('według', 'prep')
217.16561186593026 --- ('w', 'prep') ('powód', 'subst')
217.0973972454667 --- ('rzecz', 'subst') ('powód', 'subst')
217.08774009533226 --- ('w', 'prep') ('postępowanie', 'subst')
216.9972065249458 --- ('w', 'prep') ('być', 'fin')
216.94667689222842 --- ('roszczenie', 'subst') ('odszkodowawczy', 'adj')
216.8447591047734 --- ('tytuł', 'subst') ('rękojmia', 'subst')
216.54850192088634 --- ('akt', 'subst') ('oskarżenie', 'subst')
216.4616388855502 --- ('wynosić', 'fin') ('złoty', 'brev')
216.4252655757591 --- ('inny', 'adj') ('podmiot', 'subst')
216.03115874622017 --- ('w', 'prep') ('to', 'subst')
215.8789558764547 --- ('czynność', 'subst') ('radca', 'subst')
215.46081960015 --- ('udostępnić', 'ger') ('potencjał', 'subst')
215.1618244983256 --- ('wskazać', 'ppas') ('wysoko', 'adv')
214.58926754351705 --- ('wytoczyć', 'ger') ('powództwo', 'subst')
214.53522520605475 --- ('mieć', 'praet') ('być', 'inf')
214.35197418183088 --- ('przewidzieć', 'ppas') ('w', 'prep')
214.02782146446407 --- ('zakaz', 'subst') ('prowadzić', 'ger')
213.49070316925645 --- ('numer', 'subst') ('rejestracyjny', 'adj')
213.33277405891567 --- ('z', 'prep') ('ograniczony', 'adj')
212.75557680986822 --- ('usługa', 'subst') ('zakańczać', 'ger')
212.44736699853092 --- ('uzyskać', 'ger') ('patent', 'subst')
212.419649861753 --- ('sporządzić', 'ppas') ('przez', 'prep')
212.3633644208312 --- ('upadłość', 'subst') ('likwidacyjny', 'adj')
212.03504472970963 --- ('usługa', 'subst') ('telekomunikacyjny', 'adj')
211.90458403155208 --- ('w', 'prep') ('sytuacja', 'subst')
211.87015571352094 --- ('warunek', 'subst') ('udział', 'subst')
211.02769088931382 --- ('złożyć', 'praet') ('wniosek', 'subst')
210.98802098445594 --- ('dokument', 'subst') ('podmiotowy', 'adj')
210.8742972947657 --- ('hipoteka', 'subst') ('łączny', 'adj')
210.7004177030176 --- ('zbiorowy', 'adj') ('zaopatrzenie', 'subst')
210.57681949343532 --- ('prawomocny', 'adj') ('wyrok', 'subst')
210.18476952333003 --- ('załącznik', 'subst') ('do', 'prep')
210.17569531220943 --- ('prawo', 'subst') ('własność', 'subst')
210.05294028948992 --- ('o', 'prep') ('ile', 'num')
209.24626949243248 --- ('zasiłek', 'subst') ('opiekuńczy', 'adj')
209.1501593478024 --- ('możność', 'subst') ('obrona', 'subst')
208.94896889384836 --- ('przewinienie', 'subst') ('zawodowy', 'adj')
208.13748761825264 --- ('gospodarstwo', 'subst') ('domowy', 'adj')
208.02917638327926 --- ('następstwo', 'subst') ('nieszczęśliwy', 'adj')
207.9770845361054 --- ('osoba', 'subst') ('który', 'adj')
207.6114272940904 --- ('o', 'prep') ('z', 'prep')
207.49215967860073 --- ('popełnić', 'ger') ('przestępstwo', 'subst')
206.6216307245195 --- ('do', 'prep') ('złożyć', 'ger')
206.38087430596352 --- ('znaczny', 'adj') ('stopień', 'subst')
206.1382406167686 --- ('praca', 'subst') ('wykonywać', 'ppas')
206.0690666884184 --- ('koszt', 'subst') ('utrzymanie', 'subst')
205.980375925079 --- ('ponowny', 'adj') ('rozpoznać', 'ger')
205.85184037033468 --- ('w', 'prep') ('od', 'prep')
205.8282541986555 --- ('uznać', 'inf') ('za', 'prep')
205.6034174496308 --- ('czyn', 'subst') ('opisać', 'ppas')
205.1883750120178 --- ('o', 'prep') ('ogłosić', 'ger')
205.07677740138024 --- ('uchwała', 'subst') ('numer', 'brev')
204.40654915943742 --- ('ten', 'adj') ('sposób', 'subst')
204.34030939638615 --- ('mieć', 'praet') ('wpływ', 'subst')
204.28357586916536 --- ('prowadzić', 'fin') ('do', 'prep')
204.15039979107678 --- ('nienależyty', 'adj') ('wykonanie', 'subst')
204.03507690969855 --- ('odpowiedzialność', 'subst') ('odszkodowawczy', 'adj')
203.55202154628932 --- ('dodatek', 'subst') ('pielęgnacyjny', 'adj')
203.42252734396607 --- ('należeć', 'praet') ('uznać', 'inf')
203.27023538108915 --- ('m', 'brev') ('d', 'brev')
203.1205071527511 --- ('ii', 'adj') ('uk', 'subst')
202.52047130465508 --- ('oddalić', 'praet') ('powództwo', 'subst')
202.20864490885288 --- ('na', 'prep') ('zdrowie', 'subst')
202.19799598213285 --- ('chwila', 'subst') ('obecny', 'adj')
201.84160160273314 --- ('ssn', 'subst') ('zbigniew', 'subst')
201.83741334546357 --- ('rok', 'brev') ('o', 'prep')
201.35794681683183 --- ('termin', 'subst') ('do', 'prep')
200.78203163295984 --- ('złożyć', 'ppas') ('przez', 'prep')
200.52837979979813 --- ('złoty', 'subst') ('miesięcznie', 'adv')
200.49613423179835 --- ('obowiązek', 'subst') ('alimentacyjny', 'adj')
200.28562627825886 --- ('długi', 'adj') ('niż', 'prep')
200.12378250155598 --- ('moc', 'subst') ('artykuł', 'brev')
199.88440236169845 --- ('następować', 'fin') ('apelacja', 'subst')
199.76049400214106 --- ('przed', 'prep') ('sąd', 'subst')
199.72644893173128 --- ('punkt', 'brev') ('rozporządzenie', 'subst')
199.63241547718644 --- ('z', 'prep') ('ustawowy', 'adj')
199.52248719986528 --- ('zarzut', 'subst') ('naruszenie', 'subst')
199.48403021134436 --- ('opinia', 'subst') ('uzupełniać', 'pact')
198.94290782231838 --- ('okręgowy', 'adj') ('uznać', 'praet')
198.81252376828343 --- ('cierpienie', 'subst') ('fizyczny', 'adj')
198.2372080674395 --- ('vii', 'adj') ('k', 'subst')
197.12610447593033 --- ('artykuł', 'brev') ('punkt', 'brev')
196.87363860290498 --- ('móc', 'fin') ('zostać', 'inf')
196.63800352439284 --- ('z', 'prep') ('sąd', 'subst')
196.46030658390373 --- ('prowadzić', 'pact') ('pozarolniczy', 'adj')
196.04961642902344 --- ('przez', 'prep') ('zamawiać', 'pact')
195.79895426984876 --- ('dozór', 'subst') ('techniczny', 'adj')
195.62809547316283 --- ('ten', 'adj') ('miejsce', 'subst')
195.6162522714585 --- ('przeprowadzić', 'ger') ('dowód', 'subst')
195.12521387171 --- ('przedsiębiorstwo', 'subst') ('użyteczność', 'subst')
194.5226945253089 --- ('a', 'brev') ('p', 'brev')
194.30714702419937 --- ('majątek', 'subst') ('spółdzielnia', 'subst')
194.2412381581962 --- ('mieć', 'fin') ('znaczenie', 'subst')
193.8787662833929 --- ('wskazywać', 'fin') ('na', 'prep')
193.19110055733472 --- ('biegły', 'adj') ('psychiatra', 'subst')
193.1624755039811 --- ('stawka', 'subst') ('minimalny', 'adj')
192.65373992640525 --- ('wyrok', 'subst') ('łączny', 'adj')
192.2841325281188 --- ('należeć', 'pact') ('do', 'prep')
192.01583063416183 --- ('punkt', 'brev') ('litera', 'brev')
191.83590617403388 --- ('poprzednik', 'subst') ('prawny', 'adj')
191.35545792151242 --- ('stwierdzić', 'inf') ('należeć', 'fin')
191.23997325077653 --- ('postępowanie', 'subst') ('egzekucyjny', 'adj')
191.1537721036002 --- ('usta', 'subst') ('ustawa', 'subst')
191.0560167375952 --- ('zasiłek', 'subst') ('chorobowy', 'adj')
190.40687702782452 --- ('rok', 'brev') ('pozycja', 'brev')
190.17145712208003 --- ('m', 'brev') ('k', 'brev')
190.05808367580175 --- ('niniejszy', 'adj') ('postępowanie', 'subst')
189.83956979960203 --- ('na', 'prep') ('to', 'subst')
189.79696650989354 --- ('zainkasować', 'ppas') ('składka', 'subst')
189.67104544397444 --- ('w', 'prep') ('jaki', 'adj')
189.53525445982814 --- ('opracować', 'ppas') ('przez', 'prep')
189.46555559244007 --- ('u', 'prep') ('powódka', 'subst')
189.12912704702467 --- ('obrót', 'subst') ('krajowy', 'adj')
188.99807323608547 --- ('oddalać', 'fin') ('powództwo', 'subst')
188.96525277011096 --- ('wniosek', 'subst') ('dowodowy', 'adj')
188.7871188512072 --- ('użyteczność', 'subst') ('publiczny', 'adj')
188.7652068687603 --- ('istotny', 'adj') ('wpływ', 'subst')
188.65965086780488 --- ('zmienić', 'praet') ('zaskarżyć', 'ppas')
188.62591570522636 --- ('do', 'prep') ('udostępnić', 'ger')
188.60876312945038 --- ('w', 'prep') ('rama', 'subst')
188.48132579028606 --- ('złożyć', 'ger') ('oświadczenie', 'subst')
188.38514338899404 --- ('apelacyjny', 'adj') ('zważyć', 'praet')
188.31375502608716 --- ('do', 'prep') ('dzień', 'subst')
187.8526586042717 --- ('kwestionować', 'ppas') ('przez', 'prep')
187.81660442054272 --- ('wobec', 'prep') ('powyższy', 'adj')
187.56246896926314 --- ('obraza', 'subst') ('przepis', 'subst')
187.34487389959395 --- ('bezsporny', 'adj') ('ustalić', 'ppas')
186.9390209177509 --- ('przewodniczący', 'subst') ('sędzia', 'subst')
186.90075937937945 --- ('wiarygodność', 'subst') ('moc', 'subst')
186.67346664052457 --- ('zbierać', 'ger') ('głos', 'subst')
186.67346664052457 --- ('oparzenie', 'subst') ('termiczny', 'adj')
186.56130487844348 --- ('zawrzeć', 'ppas') ('umowa', 'subst')
186.49850136693567 --- ('na', 'prep') ('poczet', 'subst')
186.45448740012944 --- ('przewodniczący', 'subst') ('ssa', 'subst')
186.43132168613374 --- ('pojazd', 'subst') ('zastępczy', 'adj')
186.40898997616023 --- ('wybór', 'subst') ('korzystny', 'adj')
185.96726769115776 --- ('reprezentować', 'ppas') ('przez', 'prep')
185.81023415271193 --- ('osoba', 'subst') ('fizyczny', 'adj')
185.70294299907982 --- ('zarzucić', 'praet') ('naruszenie', 'subst')
185.6259710341692 --- ('przysługiwać', 'pact') ('on', 'ppron3')
185.5237088399008 --- ('łączyć', 'pact') ('strona', 'subst')
185.3522431300953 --- ('z', 'prep') ('ten', 'adj')
185.31928591337055 --- ('iv', 'adj') ('ckn', 'subst')
185.2716298541054 --- ('schorzenie', 'subst') ('kręgosłup', 'subst')
185.2618828639388 --- ('obowiązek', 'subst') ('pracowniczy', 'adj')
185.14060680102557 --- ('wykonać', 'ppas') ('robota', 'subst')
185.03742159344256 --- ('pojazd', 'subst') ('marka', 'subst')
184.94171354360878 --- ('j', 'brev') ('g', 'brev')
184.63976980000734 --- ('o', 'prep') ('udzielić', 'ger')
184.63148452248424 --- ('od', 'prep') ('w', 'prep')
184.2449463158846 --- ('o', 'prep') ('dopuścić', 'ger')
184.07585849426687 --- ('ubezpieczenie', 'subst') ('obowiązkowy', 'adj')
183.88919802196324 --- ('zawrzeć', 'praet') ('umowa', 'subst')
183.63875161670148 --- ('lipiec', 'subst') ('rok', 'subst')
183.3525963332504 --- ('naruszenie', 'subst') ('prawo', 'subst')
183.22576296236366 --- ('z', 'prep') ('o', 'prep')
182.94345301762223 --- ('o', 'prep') ('który', 'adj')
182.9379633748904 --- ('za', 'prep') ('okres', 'subst')
182.89616733137518 --- ('sso', 'subst') ('małgorzata', 'subst')
182.8255169261247 --- ('ii', 'adj') ('csk', 'subst')
